Tapestry 5: Building Web Applications: A step-by-step guide to Java Web development with the developer-friendly Apache Tapestry framework,Alexander Kolesnikov,Computer science,2008,275,"[8, 4, 5]",TRUE,19
Tapestry 5: Building Web Applications: A step-by-step guide to Java Web development with the developer-friendly Apache Tapestry framework,Alexander Kolesnikov,Basic Concepts,2008,280,"[3, 2, 6]",FALSE,20
PHP 5 Fast and Easy Web Development (Fast and Easy Web Development),Julie C. Meloni,Компьютеры//Программирование//Языки программирования,2008,568,"[9, 1, 7]",TRUE,21
Macromedia Flash MX 2004 Fast & Easy Web Development (Fast & Easy Web Development),Lisa A. Bucki,Компьютеры//Программы//Продукты Macromedia,2006,368,"[1, 4, 9]",FALSE,22
"PHP Fast & Easy Web Development, 2nd Edition (Fast & Easy Web Development)",Julie C. Meloni,Software engineering,2002,307,"[6, 6, 6]",FALSE,23
Perl Fast & Easy Web Development (Fast & Easy Web Development),Leslie W. Bate,Basic Concepts,2002,618,"[3, 9, 3]",TRUE,24
"PHP Oracle web development : data processing, security, caching, XML, web services and AJAX : a practical guide to combining the power, performance, scalability, and reliability of Oracle Database with the ease of use, short development time, and high per",Yuli Vasiliev,Computers\\Programming: Programming Languages,2007,378,"[1, 4, 1]",TRUE,25
"PHP Oracle Web Development: Data processing, Security, Caching, XML, Web Services, and Ajax: A practical guide to combining the power, performance, ... development time, and high performance of PHP",Yuli Vasiliev,Computers\\Programming,2007,392,"[6, 8, 1]",FALSE,26
.NET Mobile Web Developers Guide. Web Developer's Guide,"Steve Milroy, Ken Cox, Doug Safford, Laura Barker, Amit Kalani and Wei Meng Lee (Auth.)",Web development,2001,415,"[2, 6, 9]",FALSE,27
Tapestry 5: Building Web Applications: A step-by-step guide to Java Web development with the developer-friendly Apache Tapestry framework,Alexander Kolesnikov,Software engineering,2008,280,"[8, 2, 4]",FALSE,28
Learn Java for Web Development: Modern Java Web Development,Vishal Layka,Web development,2014,472,"[5, 4, 7]",TRUE,29
Flask Web Development: Developing Web Applications with Python,Miguel Grinberg,Computer,2014,258,"[5, 5, 6]",FALSE,30
Flask Web Development: Developing Web Applications with Python,Miguel Grinberg,Computer,2014,258,"[4, 3, 7]",TRUE,31
Developing Web Apps with Haskell and Yesod: Safety-Driven Web Development,Michael Snoyman,Science,2015,396,"[9, 4, 7]",TRUE,32
Developing Web Apps with Haskell and Yesod: Safety-Driven Web Development,Michael Snoyman,Web development,2015,396,"[8, 9, 1]",FALSE,33
Web Design for Developers: A Programmer's Guide to Design Tools and Techniques (The Pragmatic Programmers),Brian P. Hogan,Computer Science/Web/Web Design,2009,327,"[1, 5, 8]",TRUE,34
"PHPEclipse: A User Guide: Take advantage of the leading open source integrated development environment to develop, organize, and debug your PHP web development projects.",Shu-Wai Chow,Компьютеры\\Программирование: Языки программирования,2006,228,"[2, 7, 2]",FALSE,35
GIS for Web Developers: Adding Where to Your Web Applications (2007)(en)(254s),Scott Davis,Science,2007,262,"[6, 4, 6]",FALSE,36
Moodle. E-Learning Course Development,William Rice,"Компьютерная литература\11 web строительство\Web - строительство, ASP.NET\",2006,252,"[8, 4, 5]",TRUE,37
Spring Web Flow 2 Web Development,"Sven Lüppken, Markus Stäuble",Basic Concepts,2009,272,"[9, 9, 3]",FALSE,38
Catalyst - Accelerating Perl Web Application Development,Jonathan Rockway,WEB дизайн/разработка,2007,198,"[7, 2, 7]",TRUE,39
Spring Web Flow 2 Web Development,"Sven Lüppken, Markus Stäuble",Computer science,2009,272,"[2, 7, 9]",FALSE,40
GIS for Web Developers: Adding 'Where' to Your Web Applications,Scott Davis,Computer,2007,258,"[2, 4, 6]",FALSE,41
Even Faster Web Sites: Performance Best Practices for Web Developers,Steve Souders,Software engineering,2009,256,"[9, 1, 2]",TRUE,42
Spring Web Flow 2 Web Development,"Sven Lüppken, Markus Stäuble",Computer,2009,272,"[3, 9, 2]",TRUE,43
Developing Large Web Applications: Producing Code That Can Grow and Thrive,Kyle Loudon,Computing -Web,2010,302,"[4, 8, 1]",TRUE,44
Even Faster Web Sites: Performance Best Practices for Web Developers,Steve Souders,Basic Concepts,2009,256,"[2, 4, 1]",FALSE,45
Even Faster Web Sites: Performance Best Practices for Web Developers,Steve Souders,Software engineering,2009,256,"[4, 8, 2]",TRUE,46
Spring Web Flow 2 Web Development,"Sven Luppken, Markus Stauble",Компьютеры//Сети//Интернет,2009,272,"[6, 6, 9]",FALSE,47
Communicating Design: Developing Web Site Documentation for Design and Planning (2nd Edition) (Voices That Matter),Dan M. Brown,Компьютеры//Web-дизайн,2009,312,"[3, 6, 5]",TRUE,48
Weaving a Library Web: A Guide to Developing Children's Websites,Helene Blowers,Компьютеры//Web-дизайн,2009,216,"[7, 7, 3]",FALSE,49
